Categorie annonce;Titre;Lieu;Prix;Chambres;Date brute;Date estimee;Type logement;Standing;Prix numerique;Chambres numeriques;Date NLP;Jours depuis publication;Annee publication;Mois publication;Jour publication;Quartier nettoye;Latitude;Longitude
Appartement;Appartement F4 haut standing Virage;Virage;1 300 000 F Cfa;4 chambre;4. févr., 13:22;2026-02-04;F4;Luxe;1300000;4.0;2026-02-04;50;2026;2;4;Virage;14.7549112;-17.4955253
Appartement;Appartement Vide à louer sur la VDN;Liberte 6 extension;650 000 F Cfa;2 chambre;4. févr., 16:00;2026-02-04;Appartement;Standard;650000;2.0;2026-02-04;50;2026;2;4;Liberte 6 Extension;14.7334942;-17.4671607
Appartement;Appartements neufs a louer cité millionnaire grand Yoff;Grand-Yoff;260 000 F Cfa;2 chambre;4. févr., 10:45;2026-02-04;Appartement;Standard;260000;2.0;2026-02-04;50;2026;2;4;Grand Yoff;14.7366826;-17.4528126
Appartement;Appartement F4 à Sicap Baobab;Sicap baobab;440 000 F Cfa;;4. févr., 16:17;2026-02-04;F4;Standard;440000;4.0;2026-02-04;50;2026;2;4;Sicap Baobab;;
Appartement;Appartement F3 SICAP FOIRE A LOUER;Sicap foire;250 000 F Cfa;2 chambre;4. févr., 16:14;2026-02-04;F3;Standard;250000;2.0;2026-02-04;50;2026;2;4;Sicap Foire;14.7413339;-17.4652931
Appartement;Joli studio meublé Ngor Almadies;Almadies;800 000 F Cfa;1 chambre;3. févr., 16:43;2026-02-03;Studio;Meuble;800000;1.0;2026-02-03;51;2026;2;3;Almadies;14.7441857;-17.5175251
Appartement;Appartements à louer;Hlm;150 000 F Cfa;2 chambre;3. févr., 16:18;2026-02-03;Appartement;Standard;150000;2.0;2026-02-03;51;2026;2;3;Hlm;14.7100734;-17.4441806
Appartement;Ref_2911_GL – Penthouse à louer | Cité Keur Gorgui;Cité keur gorgui;3 672 300 F Cfa;;3. févr., 15:30;2026-02-03;Penthouse;Luxe;3672300;;2026-02-03;51;2026;2;3;Cite Keur Gorgui;14.7116889;-17.4687165
Appartement;Studio à louer;scat urbam;250 000 F Cfa;1 chambre;3. févr., 15:27;2026-02-03;Studio;Standard;250000;1.0;2026-02-03;51;2026;2;3;Scat Urbam;14.7360686;-17.4591267
Appartement;Ref_2910_GL Appartement à louer à la Cité Keur Gorgui;Cité keur gorgui;1 865 100 F Cfa;;3. févr., 15:26;2026-02-03;Appartement;Standard;1865100;;2026-02-03;51;2026;2;3;Cite Keur Gorgui;14.7116889;-17.4687165
Appartement;Appartement 2 chambres a Sicap Foire;Sicap foire;250 000 F Cfa;2 chambre;3. févr., 15:25;2026-02-03;Chambre;Standard;250000;2.0;2026-02-03;51;2026;2;3;Sicap Foire;14.7413339;-17.4652931
